Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-02-15 06:00:00,3105.495533521,4,0,3049.6813679427128
2018-02-15 07:00:00,3711.4946724540005,4,0,3656.067061864081
2018-02-15 08:00:00,4153.339075439,4,0,4026.187433320153
2018-02-15 09:00:00,4674.133701924,4,0,4463.845934656066
2018-02-15 10:00:00,4965.692057044001,4,0,4691.680282239076
2018-02-15 11:00:00,5142.5377822030005,4,0,4844.781535351479
2018-02-15 12:00:00,5237.0184183619995,4,0,4922.51616819549
2018-02-15 13:00:00,5203.367492785,4,0,4907.2213508257055
2018-02-15 14:00:00,4994.828206083001,4,0,4707.023217349671
2018-02-15 15:00:00,5114.8871654859995,4,0,4884.251512759509
2018-02-15 16:00:00,5006.190601847,4,0,4857.875880156853
2018-02-15 17:00:00,4934.804356544,4,0,4886.845714508063
2018-02-15 18:00:00,5478.188459994,4,0,5455.881942396676
2018-02-15 19:00:00,5761.333067277,4,0,5720.396385781999
2018-02-15 20:00:00,5723.342468044,4,0,5655.762725966193
2018-02-15 21:00:00,5359.920701089,4,0,5255.074861083697
2018-02-15 22:00:00,4769.3199067390005,4,0,4684.69135067882
2018-02-15 23:00:00,4290.211053998,4,0,4192.667608463783
2018-02-16 00:00:00,3648.612522028,5,0,3625.823786347007
2018-02-16 01:00:00,3094.6653081189997,5,0,3102.515024607671
2018-02-16 02:00:00,3025.01489304,5,0,3035.2191519079024
2018-02-16 03:00:00,2852.501865608,5,0,2852.3979081036173
2018-02-16 04:00:00,2751.788530062,5,0,2764.0509708405584
2018-02-16 05:00:00,2827.508246933,5,0,2854.9542062917617
2018-02-16 06:00:00,3221.0797109180003,5,0,3214.5708308042254
2018-02-16 07:00:00,3845.5888646990006,5,0,3810.8994361875566
2018-02-16 08:00:00,4246.779284401,5,0,4186.829084191643
2018-02-16 09:00:00,4677.2432220460005,5,0,4584.766522421304
2018-02-16 10:00:00,4811.780254736001,5,0,4730.7679374572745
2018-02-16 11:00:00,4885.519386458,5,0,4779.718228822035
2018-02-16 12:00:00,4955.666910916,5,0,4805.21678865386
2018-02-16 13:00:00,4855.133950429,5,0,4753.798246406846
2018-02-16 14:00:00,4551.786351158,5,0,4576.774554753725
2018-02-16 15:00:00,4673.84332453,5,0,4730.885790267454
2018-02-16 16:00:00,4586.503531976,5,0,4674.763330429121
2018-02-16 17:00:00,4553.849726315,5,0,4672.212497913275
2018-02-16 18:00:00,5263.678994881,5,0,5365.2035459252165
2018-02-16 19:00:00,5644.980925312,5,0,5664.835044966045
2018-02-16 20:00:00,5570.021388651,5,0,5576.1994569312465
2018-02-16 21:00:00,5183.399420298,5,0,5210.039842516209
2018-02-16 22:00:00,4721.341519277,5,0,4723.139932078846
2018-02-16 23:00:00,4273.8834947939995,5,0,4266.75652238531
2018-02-17 00:00:00,3654.9215057779998,6,0,3692.547893291078
2018-02-17 01:00:00,3192.8005294229997,6,0,3153.3920665919586
2018-02-17 02:00:00,3130.226655213,6,0,3083.0516052010535
2018-02-17 03:00:00,2944.540842763,6,0,2910.408791607895
2018-02-17 04:00:00,2817.963633838,6,0,2824.5984076934947
2018-02-17 05:00:00,2841.270049336,6,0,2816.2163002561147
2018-02-17 06:00:00,3046.599346029,6,0,2988.42549582484
2018-02-17 07:00:00,3298.518334064,6,0,3292.0532379153346
2018-02-17 08:00:00,3764.2588562359997,6,0,3790.3217462278903
2018-02-17 09:00:00,4194.649395607999,6,0,4246.928581661043
2018-02-17 10:00:00,4368.755436889,6,0,4504.989791378859
2018-02-17 11:00:00,4407.291619578999,6,0,4527.176033293161
2018-02-17 12:00:00,4414.958593894,6,0,4567.523419151098
2018-02-17 13:00:00,4360.181328083,6,0,4521.899846924704
2018-02-17 14:00:00,4110.659499271001,6,0,4249.008094998751
2018-02-17 15:00:00,4195.484958637,6,0,4306.387458550489
2018-02-17 16:00:00,4129.949986159,6,0,4223.06592579259
2018-02-17 17:00:00,4142.004010643001,6,0,4217.132205049699
2018-02-17 18:00:00,4866.090394412,6,0,4876.0733222496265
2018-02-17 19:00:00,5237.062362854,6,0,5191.453450613814
2018-02-17 20:00:00,5169.710794342,6,0,5149.131332009662
2018-02-17 21:00:00,4869.580450017,6,0,4914.07424340595
2018-02-17 22:00:00,4430.722859584001,6,0,4451.174931217222
2018-02-17 23:00:00,4081.822839198,6,0,4118.277735810533
2018-02-18 00:00:00,3580.0497205490005,7,0,3547.8341281948647
2018-02-18 01:00:00,3128.9186003620002,7,0,3083.40897097409
2018-02-18 02:00:00,3083.79401581,7,0,3031.0498305170745
2018-02-18 03:00:00,2898.7624288360003,7,0,2832.787287678263
2018-02-18 04:00:00,2764.1630513970003,7,0,2683.848784806386
2018-02-18 05:00:00,2751.771488536,7,0,2657.4557451607498
2018-02-18 06:00:00,2883.776624595,7,0,2787.325437965638
2018-02-18 07:00:00,3012.271754542,7,0,2981.200083387293
2018-02-18 08:00:00,3344.6167553299997,7,0,3306.8302695937805
2018-02-18 09:00:00,3767.2688385870006,7,0,3724.8488415209777
2018-02-18 10:00:00,4136.586219845,7,0,4120.074994717472
2018-02-18 11:00:00,4367.222100222,7,0,4401.245771609613
2018-02-18 12:00:00,4415.662750577,7,0,4481.918027008071
2018-02-18 13:00:00,4199.362734706,7,0,4286.581109587493
2018-02-18 14:00:00,3804.4936558040004,7,0,3840.540914839397
2018-02-18 15:00:00,3902.073907042,7,0,3941.7959391712025
2018-02-18 16:00:00,3854.262895158,7,0,3854.2760324296073
2018-02-18 17:00:00,3845.899742364,7,0,3850.0221460169155
2018-02-18 18:00:00,4455.385141997,7,0,4583.163560487127
2018-02-18 19:00:00,4790.877748408,7,0,4952.032781723888
2018-02-18 20:00:00,4778.485996937,7,0,4944.36250575575
2018-02-18 21:00:00,4595.370215631,7,0,4724.741698196255
2018-02-18 22:00:00,4256.614069697001,7,0,4336.878534801498
2018-02-18 23:00:00,3950.133069145,7,0,3995.2066961340524
2018-02-19 00:00:00,3484.484472988,1,1,3526.425887860451
2018-02-19 01:00:00,3049.893641103,1,1,3097.3863377463204
2018-02-19 02:00:00,2988.713212094,1,1,3054.165345522143
2018-02-19 03:00:00,2802.6208594170002,1,1,2864.028796750408
2018-02-19 04:00:00,2667.586752662,1,1,2736.9235271252896
2018-02-19 05:00:00,2648.929027937,1,1,2697.1860654446946
2018-02-19 06:00:00,2760.277092197,1,1,2822.415944795541
2018-02-19 07:00:00,2890.208576411,1,1,3027.4858820608647
2018-02-19 08:00:00,3345.071349523,1,1,3480.635139548522
2018-02-19 09:00:00,3972.1418221379995,1,1,4152.785072164804
2018-02-19 10:00:00,4360.316397388,1,1,4638.098476469926
2018-02-19 11:00:00,4420.255793054001,1,1,4695.971922141897
2018-02-19 12:00:00,4338.401140473,1,1,4629.189223448082
2018-02-19 13:00:00,4154.405524883,1,1,4311.399806285002
2018-02-19 14:00:00,3805.047447977,1,1,3830.9517703515285
2018-02-19 15:00:00,3991.424074015,1,1,3960.1566639631546
2018-02-19 16:00:00,4031.138423706,1,1,3961.503375905402
2018-02-19 17:00:00,4060.2749781009998,1,1,3929.1279422098346
2018-02-19 18:00:00,4599.5940192670005,1,1,4597.855623321505
2018-02-19 19:00:00,4975.514034187,1,1,5151.085671211673
2018-02-19 20:00:00,4994.577393802,1,1,5185.61529093789
2018-02-19 21:00:00,4791.895092647,1,1,4901.789343307492
2018-02-19 22:00:00,4318.034825297001,1,1,4398.740546162117
2018-02-19 23:00:00,3931.898028304,1,1,3975.5668917585685
2018-02-20 00:00:00,3350.0752134470004,2,0,3376.546267040222
2018-02-20 01:00:00,2868.669265728,2,0,2903.514454136372
2018-02-20 02:00:00,2848.904338728,2,0,2871.147674612356
2018-02-20 03:00:00,2712.0874493520005,2,0,2711.1929403445174
2018-02-20 04:00:00,2624.56407107,2,0,2620.8031805984306
2018-02-20 05:00:00,2695.4263185729997,2,0,2687.1433274963765
2018-02-20 06:00:00,3056.812308309,2,0,3041.424178104949
2018-02-20 07:00:00,3667.9169692330006,2,0,3629.1548973558574
2018-02-20 08:00:00,4116.126627633,2,0,4074.6553662773244
2018-02-20 09:00:00,4623.716638759,2,0,4499.712588114445
